,Motion/Topic,MP Response,Label
39,impact of cyclone freddy on chama district,madam speaker probably honourable petauke central language difficult mentioned comprehensive assessment responding told arrived committed assurance conflict giving member giving member child cry mean personally travelling synchronise response ground,0
40,impact of cyclone freddy on chama district,mr mukosa chinsali madam speaker commend honour office noted office responding disaster disconnection local disaster management mitigation unit dmmu administration member stakeholder week raised issue bridge constituency dmmu lusaka ready respond sending boat unfortunately boat work needed culvert boat arrived chinsali asked district commissioner dc nomba dc kupena,1
41,impact of cyclone freddy on chama district,giving evidence story time supplementary question engage honour quietly start giving story culvert boat supplementary question,0
42,impact of cyclone freddy on chama district,learn member kasama central question neighbour,0
43,impact of cyclone freddy on chama district,mr mukosa madam speaker guidance advised finish,0
44,impact of cyclone freddy on chama district,mr mukosa asked nomba dc kupena imwe tamu mwene boat pas supplementary question,0
45,impact of cyclone freddy on chama district,madam speaker office improve engagement dmmu member stakeholder situation food released dmmu lusaka stakeholder member food arrived office noble job,1
46,impact of cyclone freddy on chama district,madam speaker engagement representative dmmu office strengthened member debate raise point house stronger engagement follow happening answer hear talking actual needed understand engage office receives recommendation follow ground different mean member office failing needed,1
47,impact of cyclone freddy on chama district,mr chewe lubansenshi madam speaker chama north problem honour office responded positively unfortunately food reached ground anxiously waiting honour timeframe receive food believe food constituency district due reason challenge interested knowing receive food clear mind,1
48,impact of cyclone freddy on chama district,accommodate push wall knew remain seated follow proceeding,0
49,impact of cyclone freddy on chama district,madam speaker answer basically engage today change response member definitely told happened different response member definitely engage ground decide food kalondo place stuck nyimba concerned follow give timeline give timeline response food difficult,0
50,impact of cyclone freddy on chama district,mr mtayachalo madam speaker chama appreciate assistance continue knock ensure interest safeguarded,1
51,impact of cyclone freddy on chama district,madam speaker magnitude disaster 424 house destroyed intending work ministry community development social service affected put social cash transfer sct instead knocking door,1
52,impact of cyclone freddy on chama district,madam speaker member chama north question,0
53,impact of cyclone freddy on chama district,madam speaker give response start work perpetual response fund made available member constituency supported chama north challenge,1
54,impact of cyclone freddy on chama district,madam speaker mentioned work survive way probably construct structure away flooding area work money put social cash transfer scheme approved budget issue arise commitment heavy member cabinet put social cash transfer scheme government day find permanent solution government feed year,1
55,impact of cyclone freddy on chama district,madam speaker chama north prone flood support started long cyclone freddie reached chama work find permanent solution entire executive work find solution,1
56,impact of cyclone freddy on chama district,mr chibuye mkushi north madam speaker honour indicated measure government taking chama north food concerned heard talk mitigating measure lost house chama north government,1
57,impact of cyclone freddy on chama district,madam speaker mentioning item victim item mentioned tent unfortunately time family disturbed tent different size read tent equal ninety put family place tent grouped gender age permanent infrastructure made available tent,1
58,impact of cyclone freddy on chama district,mr mwambazi bwana mkubwa madam speaker allowing honour question chama 424 cropaffected crop grown farmer input support programme fisp disaster management mitigation unit dmmu insured flood 5 million paid year mistaken government carried assessment establish compensated mentioned avenue crop insured,1
59,impact of cyclone freddy on chama district,madam speaker response earlier mentioned carry comprehensive assessment rapid assessment hurry survive comprehensive assessment vulnerable assessment insurance fisp member year benefit africa risk capacity social cash transfer flood drought praying africa risk capacity include flood occurring discussed concluded drought affected helped,1
60,procurement of computers for schools in lubansenshi constituency,minister education mr syakalima madam speaker inform house government plan procure computer school lubansenshi parliamentary constituency information communication technology subject,1
61,procurement of computers for schools in lubansenshi constituency,madam speaker procurement teaching learning material includes computer process house wish note school received desktop computer school received laptop lubansenshi constituency school katopola primary school bosco primary school chifwile primary school,1
62,procurement of computers for schools in lubansenshi constituency,mr chewe madam speaker lubansenshi find government supply remaining school computer considering information communication technology ict subject waiting computer supplied learner due ict minister remaining school receive computer,1
63,procurement of computers for schools in lubansenshi constituency,mr syakalima madam speaker indicated supply computer learning material process supplied,1
64,procurement of computers for schools in lubansenshi constituency,mr kang ombe kamfinsa madam speaker minster education informed nation august house ministry plan continue exercise response question indicated ongoing exercise,1
65,procurement of computers for schools in lubansenshi constituency,madam speaker challenge public institution issue lack security case incidence computer stolen thief government provided tool,1
66,procurement of computers for schools in lubansenshi constituency,madam speaker measure place ensure computer government install huge cost stolen case theft computer school,1
67,procurement of computers for schools in lubansenshi constituency,mr syakalima madam speaker indeed instance computer generally material schooling stolen emphasised school provide security term currently build school especially building roof burglar proofed,1
68,procurement of computers for schools in lubansenshi constituency,madam speaker community sensitised steal computer steal child affected community deprive child facility deprive case classroom stole produced surgeon killed surgeon hospital surgeon killed,1
69,procurement of computers for schools in lubansenshi constituency,mr mabeta kankoyo madam speaker member parliament anthony mumba advantage increased constituency development fund cdf procure computer school constituency,1
70,procurement of computers for schools in lubansenshi constituency,madam speaker minister education considering giving standard type model computer bought school type computer school computer made fwebene,1
71,procurement of computers for schools in lubansenshi constituency,mr syakalima madam speaker question stand advised technocrat,0
72,procurement of computers for schools in lubansenshi constituency,mr chewe lubansenshi madam speaker deliberate intervention ministry put place ensure teacher teach subject demand information communication technology ict knowledge intervention ministry putting place ensure teacher reached level teaching ict subject offer task,0
73,procurement of computers for schools in lubansenshi constituency,mr syakalima member talking teacher teach information communication technology ict subject upgraded profession technology fast growing thing technology upgrade,0
74,procurement of computers for schools in lubansenshi constituency,mr mwambazi bwana mkubwa madam speaker minister mentioned programme distributing computer school especially lubansenshi ongoing,1
75,procurement of computers for schools in lubansenshi constituency,madam speaker important roadmap plan computer distributed informed constituency,1
76,procurement of computers for schools in lubansenshi constituency,mr syakalima madam speaker bit difficult ongoing ongoing timeframe walking walking ongoing ongoing happening lubansenshi bwana mkubwa thing ongoing,1
77,procurement of computers for schools in lubansenshi constituency,mr katakwe solwezi east madam speaker member parliament matero asked concerning usage smart phone school government position school rigid student smart phone negative effect government position school indeed smart phone addition computer laptop,0
78,procurement of computers for schools in lubansenshi constituency,mr syakalima madam speaker resistance find happening issue smart phone academic government providing specifically academia smart phone school intention corrupt moral child ministry make smart phone specifically academia,0
79,procurement of computers for schools in lubansenshi constituency,mr tayengwa kabwata madam speaker computer lab converted classroom minister position indicate house government plan build computer lab encourage member house constituency development fund cdf build computer lab,1
80,procurement of computers for schools in lubansenshi constituency,mr syakalima madam speaker indeed encourage member part constituency development fund cdf construct computer laboratory,1
81,rehabilitation of the road,234 mr amutike mongu central asked minister infrastructure housing urban development,0
82,rehabilitation of the road,minister fishery livestock mr chikote behalf minister infrastructure housing urban development eng milupi madam speaker government plan rehabilitate road,1
83,rehabilitation of the road,madam speaker rehabilitation road commence preparation design completed fund secured,1
84,rehabilitation of the road,mr amutike madam speaker remind minister road neglected year previous,1
85,rehabilitation of the road,mr amutike madam speaker wish remind minister lusaka road neglected previous regime patriotic front pf year section road tobacco board zambia tbz lukulu turn,1
86,rehabilitation of the road,mr amutike completely washed completely road minister give time frame road worked,1
87,rehabilitation of the road,mr chikote madam speaker understand member concern especially province road talking long state attended dawn administration committed providing service delivery dawn government allocated money consultant working project month immediately month resume eighteen month work period twelve month defect liability period proceed road understand happening past road,1
88,rehabilitation of the road,mr anakoka luena madam speaker luena excited hear time line attached reconstruction rehabilitation road question design road concentrate section tbz tateyoyo katunda redesigning road tateyoyo mongu section dangerous bit bit sooner fall state disrepair katunda tateyoyo grateful bridge completed indicate road rehabilitated tateyoyo mongu,1
89,rehabilitation of the road,mr chikote madam speaker member question reflects important road money committed cover km tateyoyo junction,1
90,rehabilitation of the road,mr kangombe sesheke central madam speaker unfortunate mongu part western province suffering road important road connect western province formally barotseland rest country area western province completely cut rest country area feel deliberate move government minister realise maintenance policy ministry infrastructure housing urban development adhered status road road rehabilitated situation agree problem response,0
91,rehabilitation of the road,mr chikote madam speaker indeed government stated preamble administration committed providing service delivery make start building resource order attend road member mentioned indeed require urgent attention government making road attention require,0
92,rehabilitation of the road,mr mutelo mitete madam speaker road economical road number truck laden copper road stretch tateyoyo katunda junction immediate measure government situation waiting consultancy month defect liability period twelve month minister stated road construction katunda light tunnel road reached,1
93,rehabilitation of the road,mr chikote madam speaker indeed road shape time power government made commitment attending road,1
94,rehabilitation of the road,evidence completed kafue hook bridge commission show government committed service delivery assure member parliament western province road attended administration,1
95,rehabilitation of the road,madam speaker allowed member asked question supposed question issue road,0
96,rehabilitation of the road,mr chikote katunda indeed preamble government committed working road road government attend member note road attended government,1
97,rehabilitation of the road,mr katakwe solwezi east madam speaker afternoon coming delighted find zambia army cleaning addis abba road officer cleaning drainage picking garbage kudos zambia army,0
98,rehabilitation of the road,madam speaker government deliberate policy contractor road road zambia deliberate intervention make road proper drainage system proper drainage system road affected water logging damaged proper drainage government deliberate policy,0
99,rehabilitation of the road,mr chikote madam speaker government belief quality delivering specified arrangement belief quality relation value money drainage quality road aspect government considers providing service delivery,0
100,rehabilitation of the road,mr kang ombe kamfinsa madam speaker patriotic front pf government spent huge sum money build,0
101,rehabilitation of the road,member kamfinsa bring party politics supplementary question,0
102,rehabilitation of the road,mr kang ombe madam speaker previous government spent million taxpayer money partner build industrial yard mongu mean road leading industrial yard important mongu kalabo taxpayer money build expensive road question,1
103,rehabilitation of the road,mr kang ombe madam speaker supplementary question manner understand point previous government spent money important project,0
104,rehabilitation of the road,mr kang ombe protected madam speaker follow question,0
105,rehabilitation of the road,member kamfinsa supplementary question repeat heard preliminary,0
106,rehabilitation of the road,madam speaker question acting minister infrastructure housing urban development money government allocated undertake work design feasibility study actual road work,1
107,rehabilitation of the road,mr chikote madam speaker sad start talking happened past regard road answered side money spent road make feel,1
108,rehabilitation of the road,madam speaker coming member question stated answer money design preparation tender document allocated k5 million design tender document cost road money allocated road,1
109,rehabilitation of the road,mr madam speaker firstly minister dawn government increasing constituency development fund cdf k28 point million,0
110,rehabilitation of the road,madam speaker waiting government money attend road minister ministry person touch road seek guidance ministry road passing constituency constituency put money cdf cdf increased work road allowed put money work road waiting government work,1
111,rehabilitation of the road,mr chikote madam speaker constituency development fund cdf guideline money supposed guided stipulated guideline member note cdf government money project driven cdf identified community short member acquaint guideline cdf,0
112,malaria vaccines,"minister community development social service m mwamba behalf minister health mr masebo madam speaker government plan procure malaria vaccine house wish note procurement introduction malaria vaccine depend recommendation made zambia immunization technical advisory group zitag , currently reviewing scientific programmatic evidence provide recommendation country adopt malaria vaccination",1
113,malaria vaccines,madam malaria leading illness health facility attendance death zambia public health priority country government ministry health initiated process exploring possibility introducing malaria vaccine add current malaria control strategy zambia process anticipated completed june 2024,1
114,malaria vaccines,madam speaker implementation plan procure introduce malaria vaccine depend recommendation made zitag full review process take consideration efficacy possible impact global supply availability cost effectiveness intervention government intended make application possible introduction malaria vaccine 2024,1
115,malaria vaccines,madam speaker house wish note world health organisation working partner member state developed matrix framework guide allocation initial limited dos vaccine incorporating market dynamic scientific evidence implementation social value fairness equity eligible country introduce introduce vaccine phased manner initial pilot country malawi ghana kenya successful application,1
116,malaria vaccines,madam speaker privatisation matrix programme zambia target initial vaccine supply surviving infant 2024 distributed seventeen district province child expected receive dos recommended guideline depends outcome ongoing review process zitag decision submit application granted cabinet,1
117,malaria vaccines,madam speaker cost malaria vaccine estimated dose initial supply zambia eligible support gavi vaccine alliance access exceptional support malaria vaccine introduction support reviewed 2027 based gavi classification eligible country support zambia expected initially contribute dose annually subject annual incremental revision country assumes full financing capacity year country reclassified country graduating gavi support,1
118,malaria vaccines,madam speaker house note based agreement initial phase vaccine roll cost vaccine include shipping cost cost activity prepare roll subsequent year amount vary depending number dos required based rate inclusion district phased introduction,1
119,malaria vaccines,speaker vaccination efficacy month completion initial dos estimated 68 cent efficacy decreased time month fourth dose vaccine efficacy 43 evidence show fourth dose extended period protection restore efficacy level initial vaccine series,1
120,malaria vaccines,madam speaker house wish note data effectiveness malaria vaccine generated form pilot phase part ghana kenya malawi showed hospitalisation server malaria child administered dos vaccine reduced 29 cent noted observed level observed malaria vaccination complimentary malaria control strategy indoor residual spraying insecticide treated bed net vaccine shown safe tolerated major safety concern noted pilot phase vaccine introduction ghana malawi kenya small risk seizure day day vaccination,1
121,malaria vaccines,madam speaker subject final decision alternative plan country initial rollout seventeen district highest 2024 targeted district increasing annually phased approach district currently meet criterion malaria vaccine introduction reached introduction expected completed 2030 subject availability newer effective vaccine,1
122,malaria vaccines,madam speaker vaccine rollout countrywide depend recommendation zambia immunization technical advisory group zitag,1
123,malaria vaccines,madam speaker house wish note currently type malaria vaccine recommended world health organisation supply vaccine limited expected remain short medium term supply country controlled allocation framework meaning country procure allocated quantity,1
124,malaria vaccines,madam speaker inform house malaria vaccine available additional tool country evaluate possible adoption part comprehensive malaria control strategy guided specific country comprehensive evaluation process provide update review process concluded,1
125,malaria vaccines,mr chanda kanchibiya madam speaker apologise elder sister deserves drink water reading lengthy response,0
126,malaria vaccines,madam speaker rural constituency called kanchibiya constituency constituency malaria reality situation find quest vaccine reason sought mouthful response executive,1
127,malaria vaccines,madam speaker world health organisation recommended wide spread vaccine result minister referred ghana kenya malawi vaccine reached child 2019 dr tedros adhanom ghebreyesus director described historic moment long awaited malaria vaccine child breakthrough science,1
128,malaria vaccines,madam speaker zambia immunization technical advisory group zitag timeframe attached study prolong process minute child kanchibiya matter area lusaka considered malaria free malaria,1
129,malaria vaccines,m mwamba madam speaker sympathise member parliament kanchibiya area understand talking research currently 2024 advice technocrat ministry vaccine controlled administered thing consideration question composition zitag group researcher comprising stakeholder academician professional body medical researcher ready inform ministry rollout begin,1
130,malaria vaccines,mr fube chilubi madam speaker indicate interested party area presume minister talking malaria vaccine mosquirix failure rate believed childhood vaccine supposed prevent disease different experience coronavirus ) vaccine minister referring april 2022 administered million child fact talked efficacy chilubi safe minister indicate efficacy failure rate witnessed vaccine,1
131,malaria vaccines,m mwamba madam speaker member parliament chilubi question remind mislead public coronavirus ) vaccine failed failed recorded evidence ministry concerned vaccine successful,1
132,malaria vaccines,madam malaria vaccine proving successful country rolled rolled ghana kenya malawi country recording success story,1
133,malaria vaccines,m sabao chikankata madam speaker caring government dawn government considering aerial spray long term measure eradicating malaria country,1
134,malaria vaccines,m mwamba madam speaker vaccine doctor agree preventive measure vaccinated corona virus 2019 virus effect mild presume medical expert malaria vaccine immunised malaria mildly,1
135,malaria vaccines,m mwamba madam speaker member parliament chikankata asked consider residue spraying control measure mosquito residue spraying continues vaccine talking immunisation control malaria especially child,1
136,malaria vaccines,madam,0
137,malaria vaccines,mr chanda madam speaker permission bring loaded question essence parliament opposed petty politics find,0
138,malaria vaccines,madam speaker commend minister response executive reality malaria disease burden high rural area important executive attach lot seriousness zambia immunisation technical advisory group zitag slow rate executive solution especially child rural area,1
139,gully near the kazungula boarding school in kazungula district,mr syakalima madam speaker wish inform house government aware gully developed kazungula boarding school kazungula district,1
140,gully near the kazungula boarding school in kazungula district,madam speaker government plan undertake comprehensive work prevent gully expanding weakening school infrastructure house wish note measure undertaken protect school gully,1
141,gully near the kazungula boarding school in kazungula district,madam speaker measure aimed slowing velocity water reduce erosion soil deepen gully resolved problem completely,1
142,gully near the kazungula boarding school in kazungula district,mr andeleki madam speaker expect action government stop erosion taking place threatening boarding secondary school katombola constituency,1
143,gully near the kazungula boarding school in kazungula district,mr syakalima madam speaker week sending team year gully threatening school soil built school asked engineer soil testing area forest cutting lot tree gully expanding hope quickly move school threatened rainy season gully bigger,1
144,gully near the kazungula boarding school in kazungula district,mr chisopa mkushi south madam speaker minister indicated estimated cost k30 million ministry budget money budgeted work problem month minister week team k30 million,0
145,gully near the kazungula boarding school in kazungula district,mr syakalima madam speaker question estimated cost preventing expansion gully depending veracity problem supplementary monies particular budgetary line supplementary budget thing happen,1
146,gully near the kazungula boarding school in kazungula district,mr sing ombe dundumwezi madam speaker minister considering bringing engineer book surely colossal sum money spent constructing school complaining gully probably collapsing entire school minister ensure constructed school brought book,1
147,gully near the kazungula boarding school in kazungula district,mr syakalima madam speaker bring book job contractor 2017 engineering part engineer complained contractor job school collapse gully surrounding entire school cost previously money government abused,1
148,gully near the kazungula boarding school in kazungula district,minister water development sanitation mr mposha madam speaker government plan rehabilitate dam mkaika parliamentary constituency chisale nthambo walira mzime,0
149,gully near the kazungula boarding school in kazungula district,madam speaker rehabilitation dam mkaika parliamentary constituency undertaken completion countrywide feasibility study scheduled 2023 ascertain status location purpose planning,0
150,gully near the kazungula boarding school in kazungula district,mr lubozha chifubu madam speaker estimated cost rehabilitation dam mkaika constituency,0
151,gully near the kazungula boarding school in kazungula district,mr mposha madam speaker indicated plan implemented feasibility study conducted cost established feasibility study undertaken,0
152,gully near the kazungula boarding school in kazungula district,mr mposha madam speaker indicate response feasibility study scheduled year 2023,0
153,gully near the kazungula boarding school in kazungula district,mr daka chadiza madam speaker dam chadiza type capacity dam intend construct mkaika,0
154,gully near the kazungula boarding school in kazungula district,mr mposha madam speaker question responding specific effect discussing rehabilitation dam specifically mentioned dam question definitely question member parliament chadiza correct term type dam construction taking construct intending rehabilitate,0
155,proposed restructuring of zesco limited,minister green economy environment eng nzovu behalf minister energy mr kapala madam speaker proposed restructuring zesco limited lead job loss power utility company restructuring zesco limited improve operation autonomy efficiency ensure company financial sustainability achieved restructuring lead improvement company financial performance efficiency resulting company profitable delivering electricity internationally competitive price efficiency quality,1
156,proposed restructuring of zesco limited,madam speaker dawn government ensure condition created ensure job loss considering zesco limited highly technical company requires professional staff company run effectively efficiently profitably government ensure company diversifies power production availability adequate supply electricity source energy reliable lowest economic financial social environmental cost consistent national goal,1
157,proposed restructuring of zesco limited,mr mpundu nkana madam speaker talk segmenting zesco limited distribution generation facet company talking restructuring similarity difference,1
158,proposed restructuring of zesco limited,eng nzovu madam speaker issue unbundling zesco limited table long time generation transmission distribution basically talking unbundling improving efficiency zesco limited,1
159,proposed restructuring of zesco limited,madam speaker member recall past zesco limited loaded lot cost moment zambia debt largely due fact zesco limited debt basically attributed construction project zesco limited cost laden zesco limited result company highly indebted facet,1
160,proposed restructuring of zesco limited,madam speaker zesco limited basically improve efficiency delivery company firstly provide requisite power demand available forward projected higher demand taking account dawn government target increasing copper production 3 million tonne year decade,1
161,proposed restructuring of zesco limited,madam speaker ensuring advent climate change energy security key answer ensure energy mix zesco limited improved hydro power promoting production solar wind energy member president signing deal masdar deal ensure energy sufficiency surplus cater export market,0
162,proposed restructuring of zesco limited,mr mtayachalo madam speaker happy acting minister former zesco limited employee,0
163,proposed restructuring of zesco limited,mr mtayachalo madam speaker culture power utility company time change government worker laid reorganisation restructuring measure dawn government putting place ensure worker laid restructuring exercise avoid brain drain happening dawn government,1
164,proposed restructuring of zesco limited,eng nzovu madam speaker indeed former zesco limited employee mtayachalo time,0
165,proposed restructuring of zesco limited,eng nzovu madam speaker healthy debate assure member clarification free question,0
166,proposed restructuring of zesco limited,madam speaker basic dawn administration formed government ensured energy security zesco limited start running ensured technical expertise zesco limited member agree zesco limited running competent management tackling debt effectively ensuring longer unnecessary debt accumulation,0
167,proposed restructuring of zesco limited,madam speaker note reduction tariff power station mamba power station time number year zesco limited meeting financial obligation paying debt president hakainde hichilema commissioning unit unit 5 kafue gorge lower result zesco limited management plugging hole ensuring project suspended year back start running completed speaks fact dawn government ensures meritocracy institution assure member parliament unnecessary retirement zesco limited found wanting surely replaced goal unite country victimisation victimisation support zesco limited ensure sufficient surplus energy,0
168,proposed restructuring of zesco limited,mr chisanga lukashya madam speaker 2019 zesco limited operating start operating dawn administration formed government,0
169,proposed restructuring of zesco limited,eng nzovu madam speaker distinguished lawyer member parliament lukashya indeed zesco limited operating 2019 inform 2019 project stalled longer disbursement wonder project completed dawn government power,0
170,proposed restructuring of zesco limited,eng nzovu madam speaker 2020 sealed leakage zesco limited zesco limited started funding project resource resulting commissioning unit 3 4 5,0
171,proposed restructuring of zesco limited,madam speaker casualisation facility low cost local expertise counsel talking,0
172,proposed restructuring of zesco limited,eng nzovu listen carefully discussing highly technical issue privilege listen listen carefully especially member left,0
173,proposed restructuring of zesco limited,eng nzovu madam speaker casualisation past rampant year unnecessary employment worker worker employed project casualisation past give fellow zambian contract ensure pensionable job,0
174,proposed restructuring of zesco limited,mr mtayachalo madam speaker make plea minister worked zesco limited represented worker feel sad meet former worker lost employment plea ensure continuity change government trend laying government retrogressive nation,1
175,proposed restructuring of zesco limited,eng nzovu madam speaker agree member indeed concern worked zesco limited past victimisation government place reign patriotic front pf movement multiparty democracy mmd government trend stopped moving direction,0
176,proposed restructuring of zesco limited,mr mung andu chama south madam speaker concern possibility loss employment due restructuring zesco limited instead minister gave catalogue zesco limited efficiency improved reintroduced twenty position deputy director zesco limited existence consuming lot money belonging zesco limited,1
177,proposed restructuring of zesco limited,madam speaker concern fired minister acknowledged minister position explain house employed political connection replaced political connection fall victim time professionalism institution,0
178,proposed restructuring of zesco limited,madam speaker contrary number employee growing zesco limited policy ensure zambia sufficient surplus energy glad inform member parliament signed deal bring solar plant board member minister energy kapala signing 2 billion deal ensure solar plant provincial capital solar plant existing hydropower unit aim aim actualised manpower projection glad discussing increment copper production kabuswe working hard ensure produces3 million tonne copper year decade,0
179,proposed restructuring of zesco limited,eng nzovu require additional generation capacity additional transmission capacity additional distribution capacity necessitate employment worker assure member zesco limited today efficient ensure financial viability company guarantee job loss,0
180,proposed restructuring of zesco limited,madam speaker member talked reintroduction position zesco limited basically promote efficiency pf regime minister green economy environment ensure government promotes efficiency vision deliver mandate,1
181,proposed restructuring of zesco limited,madam speaker chair,0
182,proposed restructuring of zesco limited,eng nzovu madam speaker business suspended winding informing basically educating colleague desire dawn government energy sufficiency surplus course develop solar wind plant country run existing hydropower plant efficiently effectively profitably expertise zesco limited maintained employed ensure efficiency,0
183,proposed restructuring of zesco limited,madam speaker assured house cadreism zesco limited,1
184,proposed restructuring of zesco limited,eng nzovu cadre madam speaker employed put payroll victimisation casualisation work ensure energy powerhouse delivers mandate,0
185,proposed restructuring of zesco limited,mr chewe lubansenshi madam speaker opportunity question relation matter table definition talk corporate restructuring definition reading phone,1
186,proposed restructuring of zesco limited,mr chewe build question madam speaker protected,0
187,proposed restructuring of zesco limited,mr chewe reading definition restructuring topic hand zesco limited restructuring minister acknowledged,1
188,proposed restructuring of zesco limited,change area company increase productivity improve quality product service reduce cost,1
189,proposed restructuring of zesco limited,madam speaker understanding reducing cost factor component company stand achieve reduce manpower minister confirm restructuring process zesco limited undergoing affected,1
190,proposed restructuring of zesco limited,mr chewe madam speaker minister confirm zambia worker zesco limited worker laid ongoing restructuring story circulating employee laid restructuring process mr enrique,1
191,proposed restructuring of zesco limited,mr chewe guidance madam speaker minister kindly confirm zambia worker zesco limited lost employment due ongoing restructuring,1
