,Motion/Topic,MP Response
27,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Do answer question How ask question answer What point asking question already know answer
28,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker people instructed provide relief come back tell us unable When people hungry say done I think way Disaster Management Mitigation Unit DMMU works We disasters places If fly choppers So I hon Member bringing table see really happening
29,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
30,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Munsanje Mbabala Madam Speaker I thank Her Honour I commend good work done Chama Mbabala disasters Hakaloba Kabimba areas However Government considering improving package services provided include mattresses wrapped plastic disaster happens people sleep wet floor Could provided well
31,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker proposal one done according assessment We point certain things say time disaster things take There package refer For example send blankets Chama Depending type disaster places send blankets So standard package We assess situation give need arises So I say improve package permanent package everybody effects exactly
32,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
33,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Michelo Bweengwa Madam Speaker Constituency Development Fund CDF component disasters In Bweengwa Constituency floods CDF bought 200 bags mealie meal So two constituencies done CDF component disasters people see two honourable colleagues love
34,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker debated issue 5 per cent Constituency Development Fund CDF 60 per cent That amount used quickest response constituencies I remember standing saying use 5 per cent 60 per cent issues hon Members quickly respond disasters using 5 per cent I stood Floor House said 5 per cent may enough If one calculates may things one needs However quickest response use 5 per cent hon Members tell us used 5 per cent Many hon Members run us use 5 per cent
35,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker view situation Chama District particularly Chama North hon Member agree requests coming So started supporting people area long time ago assessed vulnerable previous season figures things high If following hon Member Chama North requesting things sending That figures things high So working people Chama I remember following people would eating Under Food Reserve Agency FRA community sales maize So Chama one districts people buy maize community sales The people Chama access maize FRA per request local leadership including hon Members Parliament
36,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
37,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Banda Petauke Central Madam Speaker thank giving opportunity behalf good people Petauke Central Chama ask question
38,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I convey greetings Her Honour good people Petauke Central Chama
39,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Hon Member Petauke Central already taken one minute could used another hon Member ask question So please ask question
40,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Banda Madam Speaker people saying ichisungu ichichine echo batuma baku Petauke
41,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Please ask question related question discussed Do bring matters Her Honour might addressed mind We talking disaster caused Cyclone Freddy The animals form part Cyclone Freddy So please ask question
42,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker I thank Office giving food people Chama affected Cyclone Freddy conflict However Her Honour said good Government Zambia sent bags maize good people Chama Is relief people affected Cyclone Freddy includes even people affected conflicts
43,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Ms Nyirenda Lundazi Madam Speaker thank giving chance people Lundazi ask question Cyclone Freddy also affected people Lundazi many places warning effect When children affected wise take chance follow sent arrived maybe going feel love mother
44,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker office Her Honour planning visit people Chama Lundazi places almost cut Cyclone Freddy
45,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker probably honourable son Petauke Central says maybe language becomes difficult I thought I mentioned would comprehensive assessment I also responding I told nothing arrived committed So I given assurance conflict I giving hon Members giving So hon Member says children crying I I If means personally travelling I We synchronise responses ground I
46,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mukosa Chinsali Thank Madam Speaker I commend Her Honour Office I noted office responding disasters However I think disconnection local Disaster Management Mitigation Unit DMMU administration hon Members well stakeholders I say even last week I raised issue bridges constituency DMMU Lusaka ready respond sending boats Unfortunately boats work sent needed culverts So even boats arrived Chinsali people asked District Commissioner DC Nomba ba DC kupena
47,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Now giving us evidence story This time supplementary questions If want engage Her Honour please quietly Do start giving us stories culverts boats forth What supplementary question
48,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Learn hon Member Kasama Central She knows ask questions She neighbour
49,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mukosa Thank Madam Speaker guidance I advised Should I finish
50,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mukosa So people asked Nomba Ba DC kupena Imwe tamu mwene ati boat pass Anyway let ask supplementary question
51,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker Office improve engagement DMMU hon Members well stakeholders situation food released DMMU Lusaka yet stakeholders know If done hon Members saying food arrived yet office done noble job
52,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker I think engagement people representative DMMU Office must strengthened This said come Sometimes want like one hon Member since debate wants raise points House I think I saying stronger engagement together follow happening Sometimes answer people hear talking actual help needed I understand We engage office receives recommendations follow If ground different means even hon Member office failing know exactly needed
53,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank
54,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Chewe Lubansenshi Madam Speaker people Chama North problem Her Honour Office responded positively Unfortunately food reached ground anxiously waiting Is Her Honour able tell timeframe receive food I believe food already constituency district However due one two reasons challenge They much interested knowing exactly going receive food clear minds
55,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Please I trying accommodate push wall If knew would remain seated follow proceedings
56,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker I think answer basically I already said We engage whether today I change response I hon Member definitely told happened I different response hon Member said something else I definitely engage people ground decide Maybe food Kalondo What place Maybe stuck Nyimba As far I concerned sent So I follow give timelines To give timeline response I said food would difficult
57,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mtayachalo Thank Madam Speaker I think people Chama appreciate assistance given However shall continue knock door ensure people interests safeguarded
58,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker looking magnitude disaster 424 ha houses destroyed Is intending maybe work together Ministry Community Development Social Services affected put Social Cash Transfer SCT instead us always knocking doors
59,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker I thank hon Member Chama North question
60,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker I said I give response To start work together see come perpetual response funds made available The hon Member may know constituency supported Chama North challenges people face So look
61,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker I mentioned work together see people survive One ways probably construct structures away flooding areas That something work together I say money put Social Cash Transfer Scheme You approved Budget still issues arise look However commitment heavy one member Cabinet say put Social Cash Transfer Scheme The Government look see done At end day must help us find permanent solution Government feed people throughout year
62,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker Chama North prone floods That I said support started long Cyclone Freddie reached Chama So need work together find permanent solution The entire Executive work find solution
63,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
64,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Chibuye Mkushi North Madam Speaker Her Honour indicated measures Government taking people Chama North food concerned However I heard talk mitigating measures lost house Chama North What Government
65,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker I mentioning items given victims one items I mentioned tents Unfortunately times like families sometimes get disturbed tents different sizes That I read So given tents equal ninety people put families In places I people given tents people grouped according gender age permanent infrastructure made available However sent tents
66,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mwambazi Bwana Mkubwa Madam Speaker thank allowing ask Her Honour question The people Chama 424 ha cropaffected Crops grown Farmer Input Support Programme FISP Disaster Management Mitigation Unit DMMU usually insured floods I think US 5 million paid last year I mistaken Has Government carried assessment establish whether people compensated mentioned avenues crops insured
67,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
68,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker response earlier I mentioned going carry comprehensive assessment right rapid assessment done hurry see people survive However comprehensive assessment done vulnerable assessment As regards insurance FISP I sure members know help last year The benefits got Africa Risk Capacity sent Social Cash Transfer floods drought We praying Africa Risk Capacity could also include floods become occurring thing We discussed although yet concluded What drought people affected helped
69,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
70,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,The Minister Education Mr Syakalima Madam Speaker I inform house Government plans procure computers schools Lubansenshi Parliamentary Constituency use Information Communication Technology subjects
71,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Madam Speaker procurement teaching learning materials includes computers process The House may wish note far schools received desktop computers schools received laptops Lubansenshi Constituency The schools Katopola Primary School Don Bosco Primary School Chifwile Primary School among others
72,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,I thank Madam Speaker
73,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Chewe Madam Speaker people Lubansenshi would like find Government supply remaining schools computers considering Information Communication Technology ICT subjects waiting computers supplied The learners due ICT sent ask hon Minister remaining schools receive computers
74,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima Madam Speaker I indicated supply computers learning materials process So supplied go
75,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,I thank Madam Speaker
76,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Kang ombe Kamfinsa Madam Speaker hon Minster Education informed nation august House ministry plans continue exercise Further response question indicated ongoing exercise
77,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Madam Speaker one challenges public institutions face issue lack security We many cases incidences computers stolen thieves Government provided useful tools
78,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Madam Speaker measures place ensure computers Government going install huge cost stolen many cases theft computers schools
79,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima Madam Speaker indeed instances computers generally materials schooling stolen What emphasised man schools able provide security terms Currently build schools especially ones building roof also burglar proofed Maybe way go
80,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Madam Speaker communities must otherwise also sensitised people steal computers steal children affected People actually communities So deprive children facilities deprive even case classroom stole produced surgeon They would killed surgeon If taken hospital surgeon would killed
81,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Mabeta Kankoyo Madam Speaker I seen hon Members Parliament like Hon Anthony Mumba taken advantage increased Constituency Development Fund CDF procure computers schools constituencies
82,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Madam Speaker hon Minister Education considering giving us standard type model computers bought schools type computers schools rather others computers made fwebene
83,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima Madam Speaker good question I stand advised technocrats
84,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Chewe Lubansenshi Madam Speaker deliberate interventions ministry put place ensure teachers able teach subjects demand Information Communication Technology ICT knowledge taken care What intervention ministry putting place ensure teachers reached level teaching ICT subjects able offer tasks
85,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima The hon Member talking teachers teach Information Communication Technology ICT subjects Yes upgraded like profession As know technology fast growing So certain things technology upgrade
86,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Mwambazi Bwana Mkubwa Madam Speaker hon Minister mentioned programme distributing computers schools especially people Lubansenshi ongoing
87,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Madam Speaker important know roadmap plans computers distributed well informed tell people constituencies
88,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima Madam Speaker bit difficult one already said Ongoing ongoing timeframe If one walking ask walking So ongoing really ongoing That happening Lubansenshi also Bwana Mkubwa Things ongoing
89,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Katakwe Solwezi East Madam Speaker following hon Member Parliament Matero asked concerning usage smart phones schools Government position There still schools rigid students using smart phones negative effects What Government position schools indeed need use smart phones addition computers laptops
90,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima Madam Speaker I quite sure resistance I need find happening Maybe issue use smart phone apart academics Otherwise Government providing specifically academia going smart phone school saying I want use It also used ill intentions sometimes corrupt morals children So ministry make sure smart phones specifically academia
91,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Tayengwa Kabwata Madam Speaker computer labs actually converted classrooms Therefore would hon Minister position indicate House whether Government plans build computer labs maybe encourage hon Members House use Constituency Development Fund CDF build computer labs
92,PROCUREMENT OF COMPUTERS FOR SCHOOLS IN LUBANSENSHI CONSTITUENCY,Mr Syakalima Madam Speaker indeed I encourage hon Members use part Constituency Development Fund CDF construct computer laboratories
93,REHABILITATION OF THE ROAD,234 Mr Amutike Mongu Central asked Minister Infrastructure Housing Urban Development
94,REHABILITATION OF THE ROAD,The Minister Fisheries Livestock Mr Chikote behalf Minister Infrastructure Housing Urban Development Eng Milupi Madam Speaker Government plans rehabilitate Road
95,REHABILITATION OF THE ROAD,Madam Speaker rehabilitation Road commence preparation designs completed funds secured
96,REHABILITATION OF THE ROAD,Mr Amutike Madam Speaker may I remind hon Minister Road neglected many years previous
97,REHABILITATION OF THE ROAD,Mr Amutike Madam Speaker I wish remind hon Minister Lusaka Road neglected previous regime Patriotic Front PF many years The section road Tobacco Board Zambia TBZ Lukulu turn
98,REHABILITATION OF THE ROAD,Mr Amutike completely washed way There completely road Is hon Minister able give time frame road worked
99,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker I understand hon Member concern especially I also come province I know road talking long state without attended The New Dawn Administration committed providing service delivery people Therefore New Dawn Government allocated money consultant working project already take nine months Immediately nine months resume eighteen months work period twelve months defect liability period That way going proceed road We understand happening past road
100,REHABILITATION OF THE ROAD,Mr Anakoka Luena Madam Speaker people Luena excited hear time line attached reconstruction rehabilitation Road My question Is design road going concentrate section TBZ Tateyoyo Katunda redesigning road way Tateyoyo Mongu I saying many sections becoming dangerous bit bit sooner later fall state disrepair like Katunda Tateyoyo So even grateful bridge completed indicate whether road rehabilitated Tateyoyo way Mongu
101,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker I thank hon Member question truly reflects important road The money committed cover km Tateyoyo junction
102,REHABILITATION OF THE ROAD,Mr Kangombe Sesheke Central Madam Speaker unfortunate people Mongu like many parts Western Province suffering The roads important roads connect Western Province formally known Barotseland rest country Most areas Western Province completely cut rest country people area feel deliberate move Government Does hon Minister realise maintenance policy Ministry Infrastructure Housing Urban Development adhered status roads well roads rehabilitated situation would Does agree problem If yes response
103,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker indeed What Government going I stated preamble Administration committed providing service delivery people We trying best make sure start building resources order attend several needs people So roads hon Member mentioned indeed require urgent attention This Government making sure roads given attention require
104,REHABILITATION OF THE ROAD,Mr Mutelo Mitete Madam Speaker true Road economical road see number trucks laden copper road For stretch Tateyoyo Katunda Junction immediate measure Government take help situation waiting consultancy take nine months defect liability period take twelve months hon Minister stated After road construction would done way Katunda see light end tunnel Road reached
105,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker indeed Road bad shape time As soon took power Government made commitment attending roads
106,REHABILITATION OF THE ROAD,One evidence completed Kafue Hook Bridge commission That shows Government committed service delivery I assure hon Members Parliament Western Province road attended administration
107,REHABILITATION OF THE ROAD,Madam Speaker although allowed hon Member asked two questions supposed ask one question On issue Road
108,REHABILITATION OF THE ROAD,Mr Chikote From Katunda indeed In preamble I said Government committed working roads Those roads Government attend So hon Member note Road attended Government
109,REHABILITATION OF THE ROAD,I thank Madam Speaker
110,REHABILITATION OF THE ROAD,Mr Katakwe Solwezi East Madam Speaker afternoon I coming I delighted find Zambia Army cleaning Addis Abba Road Officers cleaning drainages picking garbage Kudos Zambia Army
111,REHABILITATION OF THE ROAD,Madam Speaker see Government deliberate policy contractors road many roads Zambia Is deliberate intervention make sure roads proper drainage systems Without proper drainage systems roads affected water logging get damaged We want see proper drainages Does Government deliberate policy
112,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker Government believes quality delivering within specified arrangements believes quality relation value money So drainages quality roads aspects Government considers whenever providing service delivery
113,REHABILITATION OF THE ROAD,I thank Madam Speaker
114,REHABILITATION OF THE ROAD,Mr Kang ombe Kamfinsa Madam Speaker Patriotic Front PF Government spent huge sums money build
115,REHABILITATION OF THE ROAD,Hon Member Kamfinsa please let us bring party politics Ask supplementary question
116,REHABILITATION OF THE ROAD,Mr Kang ombe Madam Speaker previous Government spent millions taxpayers money partners build industrial yard Mongu means road leading industrial yard important From Mongu Kalabo taxpayers money used build another expensive road My question
117,REHABILITATION OF THE ROAD,Mr Kang ombe Madam Speaker I ask supplementary question manner allow everyone understand point The previous Government spent money two important projects
118,REHABILITATION OF THE ROAD,Mr Kang ombe Am I protected Madam Speaker ask follow question
119,REHABILITATION OF THE ROAD,Hon Member Kamfinsa ask supplementary question Do repeat please We already heard preliminaries
120,REHABILITATION OF THE ROAD,Madam Speaker question Acting hon Minister Infrastructure Housing Urban Development How much money Government allocated undertake works designs feasibility study actual road works
121,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker sad somebody starts talking happened past regard Road I know used answered I used sit side So somebody says money spent road makes us feel bad
122,REHABILITATION OF THE ROAD,Madam Speaker coming hon Member question I stated answer money designs preparation tender documents already allocated K5 million When designs tender documents done know cost road money allocated road
123,REHABILITATION OF THE ROAD,I thank Madam Speaker
124,REHABILITATION OF THE ROAD,Mr Banda Madam Speaker firstly I thank hon Minister New Dawn Government increasing Constituency Development Fund CDF K28 point something million
125,REHABILITATION OF THE ROAD,Madam Speaker waiting Government money attend road hon Minister ministry For person touch road needs seek guidance ministry If road passing eight constituencies eight constituencies put money together CDF since CDF increased work road Is allowed put money together work road waiting Government work
126,REHABILITATION OF THE ROAD,Mr Chikote Madam Speaker Constituency Development Fund CDF guidelines The way money supposed used guided stipulated guidelines The hon Member note CDF Government money The projects driven CDF identified communities In short hon Member acquaint guidelines CDF
127,MALARIA VACCINES,"The Minister Community Development Social Services Ms Mwamba behalf Minister Health Mrs Masebo Madam Speaker Government plans procure malaria vaccines The House may wish note procurement introduction malaria vaccines depend recommendations made Zambia Immunization Technical Advisory Group ZITAG , currently reviewing scientific programmatic evidence provide recommendation whether country adopt malaria vaccination"
128,MALARIA VACCINES,Madam malaria one leading causes illnesses health facilities attendances deaths Zambia one public health priorities country The Government Ministry Health initiated process exploring possibility introducing malaria vaccine add current malaria control strategy Zambia The process anticipated completed June 2024
129,MALARIA VACCINES,Madam Speaker implementation plan procure introduce malaria vaccine depend recommendations made ZITAG following full review process takes consideration efficacy possible impact global supply availability cost effectiveness interventions The Government intended make application possible introduction malaria vaccine 2024
130,MALARIA VACCINES,Madam Speaker House may wish note World Health Organisation WHO working partners members states developed matrix framework guide allocation initial limited doses vaccine incorporating market dynamics scientific evidence implementation social values fairness equity All eligible countries introduce introduce vaccine phased manner except initial three pilot countries Malawi Ghana Kenya successful application
131,MALARIA VACCINES,Madam Speaker using privatisation matrix programme Zambia target initial vaccine supply surviving infants 2024 distributed across seventeen districts six provinces Each Child expected receive four doses according recommended guidelines However depends outcome ongoing review process ZITAG decision whether submit application granted Cabinet
132,MALARIA VACCINES,Madam Speaker cost malaria vaccine estimated US per dose initial supply Zambia eligible support Gavi Vaccine Alliance access exceptional support malaria vaccine introduction The support reviewed later 2027 Based Gavi classification eligible countries support Zambia expected initially contribute US per dose annually subject annual incremental revisions country assumes full financing capacity within eight years country reclassified country graduating Gavi support
133,MALARIA VACCINES,Madam Speaker House may note based agreement initial phase vaccine roll cost vaccines US This include shipping costs costs activities prepare roll In subsequent years amount vary depending number doses required based rate inclusion new districts phased introduction
134,MALARIA VACCINES,Speaker according WHO vaccination efficacy first six months following completion initial three doses estimated 68 per cent The efficacy decreased time six months fourth dose vaccine efficacy 43 The evidence therefore shows although fourth dose extended period protection restore efficacy level seen initial vaccine series
135,MALARIA VACCINES,Madam Speaker House may wish note data effectiveness malaria vaccine generated form pilot phases parts Ghana Kenya Malawi showed hospitalisation server malaria among children administered three doses vaccine reduced 29 per cent However must noted observed levels observed malaria vaccinations done complimentary malaria control strategies indoor residual spraying use insecticide treated bed nets The vaccine shown safe well tolerated No major safety concerns noted pilot phase vaccine introduction Ghana Malawi Kenya There small risk seizure within seven days mainly within two three days vaccination
136,MALARIA VACCINES,Madam Speaker subject final decision alternative plan country initial rollout seventeen districts highest need 2024 targeted districts increasing annually phased approach districts currently meet criterion malaria vaccine introduction reached The introduction expected completed 2030 subject availability newer effective vaccines
137,MALARIA VACCINES,Madam Speaker vaccine rollout countrywide depend recommendation Zambia Immunization Technical Advisory Group ZITAG
138,MALARIA VACCINES,Madam Speaker House may wish note currently one type malaria vaccine recommended World Health Organisation WHO The supplies vaccine limited expected remain short medium terms As supply countries controlled allocation framework meaning countries procure within allocated quantities
139,MALARIA VACCINES,Further Madam Speaker I also inform House malaria vaccine available additional tool countries evaluate possible adoption part Comprehensive Malaria Control Strategy However guided specific country needs Following comprehensive evaluation processes I provide updates review processes concluded
140,MALARIA VACCINES,I thank Madam Speaker
141,MALARIA VACCINES,Mr Chanda Kanchibiya Madam Speaker I apologise elder sister She deserves drink water reading lengthy response
142,MALARIA VACCINES,Madam Speaker I come rural constituency called Kanchibiya Constituency In constituency malaria reality In situation find quest vaccine becomes reason sought mouthful response Executive
